"UF","Cidade","Bairro","Link_Cidade","Link_Bairro"
"MG","Belo Horizonte","João Pinheiro","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/joao-pinheiro-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jonas Veiga","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jonas-veiga-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Juliana","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/juliana-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Lagoa","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/lagoa-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Lagoinha","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/lagoinha-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Lagoinha Leblon","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/lagoinha-leblon-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Lajedo","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/lajedo-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Letícia","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/leticia-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Liberdade","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/liberdade-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Lourdes","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/lourdes-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Luxemburgo","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/luxemburgo-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Madre Gertrudes","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/madre-gertrudes-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Manacás","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/manacas-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Mangabeiras","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/mangabeiras-belo-horizonte-mg-brasil"
